GENE,ATGENE,EVALUE,BITSCORE,Names,Description,DNA damage response GO:0006974,DNA metabolic process GO:0006259,biological process involved in interspec... GO:0044419,cell cycle GO:0007049,cell cycle process GO:0022402,cell death GO:0008219,cell recognition GO:0008037,cellular response to ionizing radiation GO:0071479,cellular response to iron ion GO:0071281,cellular response to stress GO:0033554,coumarin biosynthetic process GO:0009805,coumarin metabolic process GO:0009804,defense response GO:0006952,defense response to Gram-negative bacter... GO:0050829,defense response to bacterium GO:0042742,defense response to other organism GO:0098542,defense response to symbiont GO:0140546,detection of bacterium GO:0016045,detection of biotic stimulus GO:0009595,detection of external biotic stimulus GO:0098581,detection of other organism GO:0098543,double-strand break repair GO:0006302,immune response GO:0006955,immune response-activating signaling pat... GO:0002757,immune response-regulating signaling pat... GO:0002764,immune system process GO:0002376,innate immune response GO:0045087,innate immune response-activating signal... GO:0002758,mitotic cytokinesis GO:0000281,negative regulation of cell cycle GO:0045786,negative regulation of cell cycle proces... GO:0010948,pathogen-associated molecular pattern re... GO:0140426,pattern recognition receptor signaling p... GO:0002221,phosphate-containing compound metabolic ... GO:0006796,phosphorus metabolic process GO:0006793,phosphorylation GO:0016310,plant-type hypersensitive response GO:0009626,programmed cell death GO:0012501,protein desumoylation GO:0016926,protein phosphorylation GO:0006468,recognition of pollen GO:0048544,regulation of cell cycle GO:0051726,regulation of cell cycle process GO:0010564,regulation of defense response GO:0031347,regulation of immune response GO:0050776,regulation of immune system process GO:0002682,regulation of innate immune response GO:0045088,regulation of response to biotic stimulu... GO:0002831,regulation of response to external stimu... GO:0032101,regulation of response to stimulus GO:0048583,regulation of response to stress GO:0080134,response to bacterium GO:0009617,response to biotic stimulus GO:0009607,response to external biotic stimulus GO:0043207,response to external stimulus GO:0009605,response to oomycetes GO:0002239,response to other organism GO:0051707,response to stress GO:0006950,sideretin biosynthesis GO:0106146,symbiont-induced defense-related program... GO:0034050
Manes.01G061500.1,AT4G23100,0,755,ATECS1; ATGSH1; CAD2; CADMIUM SENSITIVE 2; CINNAMYL ALCOHOL DEHYDROGENASE HOMOLOG 2; GLUTAMATE-CYSTEINE LIGASE; GSH1; GSHA; PAD2; PHYTOALEXIN DEFICIENT 2; PROTEASOME ALPHA SUBUNIT D2; RAX1; REGULATOR OF AXILLARY MERISTEMS 1; RML1; ROOT MERISTEMLESS 1,"Encodes the enzyme glutamate-cysteine ligase catalyzing the first, and rate-limiting, step of glutathione biosynthesis.  Required for cell proliferation at the root tip. Involved in susceptibility to the bacterial pathogen Pseudomonas syringae. Mutants are phytoalexin defective.","","",X,"","","","","","",X,"","",X,"",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,X,"",X,X,"",""
Manes.01G063966.2,AT5G23750,6.49e-34,118,"",Remorin family protein;(source:Araport11),"","",X,"","","","","","","","","",X,"","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"",X,X,"",""
Manes.01G065100.1,AT1G12780,0,640,A. THALIANA UDP-GLC 4-EPIMERASE 1; ATUGE1; UDP-D-GLUCOSE/UDP-D-GALACTOSE 4-EPIMERASE 1; UGE1,Encodes a UDP-glucose epimerase that catalyzes the interconversion of the sugar nucleotides UDP-glucose UDP-galactose via a UDP-4-keto-hexose intermediate. Responsive to stress.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.01G065200.2,AT4G11660,8.26e-113,332,AT-HSFB2B; HEAT SHOCK TRANSCRIPTION FACTOR  B2B; HSF7; HSFB2B,member of Heat Stress Transcription Factor (Hsf) family,"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G065900.1,AT4G23050,0,641,TES1,Raf-like kinase involved in TMB induced seed dormancy.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","",X,"","","","","","","","","",""
Manes.01G070800.1,AT4G37740,4.5e-32,121,ATGRF2; GRF2; GROWTH-REGULATING FACTOR 2,"Growth regulating factor encoding transcription activator. One of the nine members of a GRF gene family, containing nuclear targeting domain. Mutants result in smaller leaves indicating the role of the gene in leaf development. Expressed in root, shoot and flower","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G071051.1,AT1G12480,4.17e-128,380,CARBON DIOXIDE INSENSITIVE 3; CDI3; OZONE-SENSITIVE 1; OZS1; RADICAL-INDUCED CELL DEATH 3; RCD3; SLAC1; SLOW ANION CHANNEL-ASSOCIATED 1,"Encodes a membrane protein with 10 predicted transmembrane helices. SLAC1 is a multispanning  membrane protein  expressed predominantly in guard cells that plays a role in regulating cellular ion homeostasis and S-type anion currents. SLAC1 is important for normal stomatal closure in response to a variety of signals including elevated CO2, ozone, ABA, darkness, and humidity. SLAC1:GFP localizes to the plasma membrane.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G077300.1,AT4G31550,6.58e-54,178,ATWRKY11; WRKY DNA-BINDING PROTEIN 11; WRKY11,member of WRKY Transcription Factor; Group II-d; negative regulator of basal resistance to Pseudomonas syringae.,"","",X,"","","","","","","","","",X,"",X,X,X,"","","","","",X,"","",X,X,"","","","","","","","","","","","","","","","","","","","","","",X,"",X,X,X,X,"",X,X,"",""
Manes.01G077400.1,AT4G12440,5.27e-106,301,ADENINE PHOSPHORIBOSYL TRANSFERASE 4; APT4,adenine phosphoribosyl transferase 4;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.01G077800.1,AT1G12110,0,753,ARABIDOPSIS THALIANA NITRATE TRANSPORTER 1; ATNPF6.3; ATNRT1; B-1; CHL1; CHL1-1; CHLORINA 1; NITRATE TRANSPORTER 1; NITRATE TRANSPORTER 1.1; NPF6.3; NRT1; NRT1.1; NRT1/ PTR FAMILY 6.3,"Encodes NRT1.1 (CHL1), a dual-affinity nitrate transporter. The protein is expressed in guard cells and function in stomatal opening. Mutants have less transpiration and are more tolerant to drought. Expressed in lateral roots. Involved in nitrate signaling which enables the plant root system to detect and exploit nitrate-rich soil patches. Comparing to the wild type, the mutant displays a strongly decreased lateral root proliferation phenotype in nitrate rich patches on growth medium. Affects flowering time via interaction with the FLC dependent flowering pathway to influence its target gene FT.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G085000.3,AT3G60330,0,1514,AHA7; H(+)-ATPASE 7; HA7H(+)-ATPASE 7; HA7,H[+]-ATPase 7;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G085500.1,AT5G60900,0,594,RECEPTOR-LIKE PROTEIN KINASE 1; RLK1,Encodes a receptor-like protein kinase.,"","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,X,"","","","","","","","","","","","","","","","","","",""
Manes.01G086200.1,AT4G17520,4.65e-99,297,HLN; HYALURONAN/MRNA BINDING FAMILY PROTEIN,Hyaluronan / mRNA binding family;(source:Araport11),"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","",X,"",""
Manes.01G086600.1,AT2G44800,1.98e-74,232,"",2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11),"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G091800.1,AT1G26800,1.32e-27,103,MISFOLDED PROTEIN SENSING RING E3 LIGASE 1; MPSR1; SNIPER2,MPSR1 is  cytoplasmic E3 ligase that senses misfolded  proteins independently of chaperones and targets those proteins for degradation via the 26S proteasome. Involved in the regulation of the homeostasis of sensor NLR immune receptors.,"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G098800.2,AT5G39360,5.13e-162,448,EDL2; EID1-LIKE 2,EID1-like 2;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G100500.1,AT5G39420,0,686,CDC2C; CDC2CAT,CDC2C;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","","","","","","","","","","","",""
Manes.01G102100.1,AT3G51550,0,837,FER; FERONIA,"Encodes a synergid-expressed, plasma-membrane localized receptor-like kinase that accumulates asymetrically in the synergid membrnane at the filiform apparatus and mediates male-female gametophyte interactions during pollen tube reception.  Also involved in powdery mildew infection. Mutants show faster root elongation under dim light, the protein is required for intracellular accumulation of AHA2 under dim-light growth conditions. Positively regulates flowering by modulating the transcript accumulation and mRNA alternative splicing of certain flowering-related genes, including FLOWERING LOCUS C (FLC) and its homolog MADS AFFECTING FLOWERING (MAF). However, the RALF1 ligand negatively regulates flowering compared with FER.","","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","",X,"","",X,X,X,"",X,X,"",""
Manes.01G102400.1,AT3G51550,0,831,FER; FERONIA,"Encodes a synergid-expressed, plasma-membrane localized receptor-like kinase that accumulates asymetrically in the synergid membrnane at the filiform apparatus and mediates male-female gametophyte interactions during pollen tube reception.  Also involved in powdery mildew infection. Mutants show faster root elongation under dim light, the protein is required for intracellular accumulation of AHA2 under dim-light growth conditions. Positively regulates flowering by modulating the transcript accumulation and mRNA alternative splicing of certain flowering-related genes, including FLOWERING LOCUS C (FLC) and its homolog MADS AFFECTING FLOWERING (MAF). However, the RALF1 ligand negatively regulates flowering compared with FER.","","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","",X,"","",X,X,X,"",X,X,"",""
Manes.01G102466.2,AT3G51550,1.03e-50,179,FER; FERONIA,"Encodes a synergid-expressed, plasma-membrane localized receptor-like kinase that accumulates asymetrically in the synergid membrnane at the filiform apparatus and mediates male-female gametophyte interactions during pollen tube reception.  Also involved in powdery mildew infection. Mutants show faster root elongation under dim light, the protein is required for intracellular accumulation of AHA2 under dim-light growth conditions. Positively regulates flowering by modulating the transcript accumulation and mRNA alternative splicing of certain flowering-related genes, including FLOWERING LOCUS C (FLC) and its homolog MADS AFFECTING FLOWERING (MAF). However, the RALF1 ligand negatively regulates flowering compared with FER.","","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","",X,"","",X,X,X,"",X,X,"",""
Manes.01G102500.1,AT3G51550,0,776,FER; FERONIA,"Encodes a synergid-expressed, plasma-membrane localized receptor-like kinase that accumulates asymetrically in the synergid membrnane at the filiform apparatus and mediates male-female gametophyte interactions during pollen tube reception.  Also involved in powdery mildew infection. Mutants show faster root elongation under dim light, the protein is required for intracellular accumulation of AHA2 under dim-light growth conditions. Positively regulates flowering by modulating the transcript accumulation and mRNA alternative splicing of certain flowering-related genes, including FLOWERING LOCUS C (FLC) and its homolog MADS AFFECTING FLOWERING (MAF). However, the RALF1 ligand negatively regulates flowering compared with FER.","","",X,"","","","","","","","","",X,"","",X,"","","","","","","","","","","","","","","","","",X,X,X,"","","",X,"","","","","","","","","",X,"","",X,X,X,"",X,X,"",""
Manes.01G104600.23,AT5G15710,0,771,"",Galactose oxidase/kelch repeat superfamily protein;(source:Araport11),"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","",""
Manes.01G105000.5,AT3G30390,0,695,ATAVT6,Encodes a putative amino acid transporter.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G107100.13,AT1G67180,4.47e-121,363,DDRM1; DNA DAMAGE RESPONSE MUTANT 1; STUBL2; SUMO-TARGETED UBIQUITIN E3 LIGASE 2,Encodes a plant-specific ubiquitin E3 ligase DDRM1 ubiquitinates and stabilizes SOG1 to promote homologous recombination repair.,"",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.01G107600.2,AT1G67230,0,1002,(JAPANESE FOR NUCLEUS) 2; ATLINC1; CROWDED NUCLEI 1; CRWN1; KAKU2; LINC1; LITTLE NUCLEI1,"Encodes a nuclear coiled-coil protein related to the carrot peripheral nuclear protein NMCP1 that is involved in the determination of plant nuclear structure. Member of a small gene family in Arabidopsis containing 4 proteins (LNC1-4 or CRWN 1-4) with redundant functions in protection from oxidative damage, control of nuclear morphology and degradation of ABI5.",X,"","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G113300.1,AT3G48590,3.19e-34,121,"ATHAP5A; HAP5A; NF-YC1; NUCLEAR FACTOR Y, SUBUNIT C1",Encodes a protein with similarity to a subunit of  the CCAAT promoter motif binding complex of yeast.One of two members of this class (HAP5A) and expressed in vegetative and reproductive tissues.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","",""
Manes.01G115900.1,AT3G03380,0,1707,DEG7; DEGP PROTEASE 7; DEGP7; DEGRADATION OF PERIPLASMIC PROTEINS 7,Encodes a putative DegP protease.The mRNA is cell-to-cell mobile.Encodes a putative DegP protease. The mRNA is cell-to-cell mobile.,"","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","",""
Manes.01G118300.2,AT5G16630,0,805,ATRAD4; RAD4,DNA repair protein Rad4 family;(source:Araport11),X,X,"","","","","","","",X,"","","","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G126500.1,AT3G02680,3.79e-179,514,ATNBS1; NBS1; NIJMEGEN BREAKAGE SYNDROME 1,"DNA repair and meiotic recombination protein, component of MRE11 complex with RAD50 and MRE11",X,X,"",X,X,"","",X,"",X,"","","","","","","","","","","",X,"","","","","","","",X,X,"","","","","","","","","","",X,X,"","","","","","","","","","","","","","",X,"",""
Manes.01G130700.1,AT2G30970,0,779,ASP1; ASPARTATE AMINOTRANSFERASE 1,ASPARTATE AMINOTRANSFERASE 1,"","","","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G132300.1,AT2G30800,0,1428,ATVT-1; HELICASE IN VASCULAR TISSUE AND TAPETUM; HVT1,Has RNA or DNA helicase activity and expressed specifically in tapetum and vascular tissue. First identified member of a new group of the mle helicase group of the DEAH family.,"",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Manes.01G137000.3,AT5G27740,2.01e-80,261,EMB161; EMB251; EMB2775; EMBRYO DEFECTIVE 161; EMBRYO DEFECTIVE 251; EMBRYO DEFECTIVE 2775; REPLICATION FACTOR C 3; REPLICATION FACTOR C 5; RFC3; RFC5,A locus involved in embryogenesis. Mutations in this locus result in embryo lethality.,X,X,"","","","","","","",X,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,"",""
Manes.01G143100.2,AT2G21330,4.61e-121,351,ATFBA1; FBA1; FRUCTOSE-BISPHOSPHATE ALDOLASE 1,"Plastid isoform of fructose-bisphosphate aldolase 1. This is one of three plastid isoforms and arose with FBA2, from a recent duplication. Functions in carbon fixation via Calvin-Benson-Bassham cycle.Plastid isoform of fructose-bisphosphate aldolase 1. This is one of three plastid isoforms and arose with FBA2, from a recent duplication. Functions in carbon fixation via Calvin?Benson?Bassham cycle.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",X,X,"","","","","","","","","","","","","","","","","","","","","","","","",""
